page_id,url,title,page_type,category,avg_views,avg_edits,words,creation_year,description
63900103,en.wikipedia.org/wiki/High_Frequency_Active_Auroral_Research_Program,High_Frequency_Active_Auroral_Research_Program,other,"arts, culture and entertainment",69406,0,2271,2020,
39830741,en.wikipedia.org/wiki/Blade_Runner_2049,Blade_Runner_2049,other,"arts, culture and entertainment",348824,63,5768,2013,2017 film by Denis Villeneuve
37423368,en.wikipedia.org/wiki/Hurricane_Sandy,Hurricane_Sandy,other,STEM,75290,7,9645,2012,Category 3 Atlantic hurricane in 2012
29288880,en.wikipedia.org/wiki/Nirmala_Sitharaman,Nirmala_Sitharaman,biography,other,97176,17,604,2010,Indian politician
40488991,en.wikipedia.org/wiki/EuroBasket_2017,EuroBasket_2017,other,sport,22315,13,486,2013,2017 edition of the FIBA EuroBasket
203800,en.wikipedia.org/wiki/Skynet_(satellite),Skynet_(satellite),other,history and geography,12657,1,3300,2003,communications satellite
45195401,en.wikipedia.org/wiki/2018_FIFA_World_Cup_qualification_(UEFA),2018_FIFA_World_Cup_qualification_(UEFA),other,sport,82094,18,1218,2015,
21510773,en.wikipedia.org/wiki/Asima_Chatterjee,Asima_Chatterjee,biography,STEM,12478,4,379,2009,Indian chemist (1917-2006)
6531362,en.wikipedia.org/wiki/Battle_of_the_Sexes_(tennis),Battle_of_the_Sexes_(tennis),biography,sport,61967,5,2811,2006,Intergender tennis match
1965400,en.wikipedia.org/wiki/Kimberley_Conrad,Kimberley_Conrad,biography,"arts, culture and entertainment",38204,1,248,2005,American model
534615,en.wikipedia.org/wiki/Gustaf_Skarsgård,Gustaf_Skarsgård,biography,"arts, culture and entertainment",110500,3,309,2004,Swedish actor
38765486,en.wikipedia.org/wiki/List_of_Major_League_Baseball_longest_winning_streaks,List_of_Major_League_Baseball_longest_winning_streaks,other,sport,27039,6,380,2013,Wikimedia list article
59302389,"en.wikipedia.org/wiki/German_federal_election,_2017","German_federal_election,_2017",other,other,46255,0,2326,2018,
2878666,en.wikipedia.org/wiki/Hurricane_Wilma,Hurricane_Wilma,other,STEM,38418,10,4675,2005,category 5 Atlantic hurricane in 2005
41748169,en.wikipedia.org/wiki/Taron_Egerton,Taron_Egerton,biography,"arts, culture and entertainment",242945,21,878,2014,Welsh actor and singer
38328195,en.wikipedia.org/wiki/Mumpsimus,Mumpsimus,other,"arts, culture and entertainment",10938,1,759,2013,
48047552,en.wikipedia.org/wiki/The_Deuce_(TV_series),The_Deuce_(TV_series),other,"arts, culture and entertainment",82574,14,1097,2015,television series
52281037,en.wikipedia.org/wiki/Inhumans_(TV_series),Inhumans_(TV_series),other,"arts, culture and entertainment",99022,24,4782,2016,American television series
167144,en.wikipedia.org/wiki/Frankie_Muniz,Frankie_Muniz,biography,"arts, culture and entertainment",118565,13,2118,2003,American actor
